Time,Precipitation
1948.497267759563,0.0
1948.521857923497,0.25
1948.527322404371,0.02
1948.530054644809,0.79
1948.535519125683,0.4
1948.540983606557,0.06
1948.543715846994,0.02
1948.546448087432,0.18
1948.549180327869,0.89
1948.554644808743,0.13
1948.562841530055,0.02
1948.565573770492,0.48
1948.571038251366,0.35
1948.573770491803,0.19
1948.57650273224,0.28
1948.581967213115,0.0
1948.590163934426,0.37
1948.606557377049,0.42
1948.617486338798,0.06
1948.628415300547,0.13
1948.666666666667,0.0
1948.674863387978,0.02
1948.677595628415,1.33
1948.680327868852,0.92
1948.685792349727,0.02
1948.74043715847,1.29
1948.743169398907,0.3
1948.748633879781,0.0
1948.765027322404,0.26
1948.775956284153,0.07000000000000001
1948.789617486339,1.13
1948.792349726776,0.99
1948.803278688525,0.07000000000000001
1948.806010928962,0.01
1948.827868852459,0.32
1948.833333333333,0.0
1948.83606557377,0.85
1948.844262295082,1.43
1948.85519125683,0.72
1948.857923497268,0.17
1948.863387978142,0.05
1948.874316939891,0.58
1948.879781420765,1.14
1948.882513661202,0.12
1948.901639344262,1.14
1948.907103825137,0.6
1948.915300546448,0.0
1948.926229508197,0.29
1948.950819672131,0.54
1948.953551912568,0.52
1948.956284153006,0.2
1948.96174863388,0.12
1948.964480874317,0.02
1948.978142076503,0.09
1948.98087431694,0.01
1948.989071038251,0.8100000000000001
1948.991803278689,0.21
1949.0,0.0
1949.002739726027,0.03
1949.005479452055,0.26
1949.008219178082,1.72
1949.01095890411,0.16
1949.041095890411,0.92
1949.043835616438,0.01
1949.046575342466,1.27
1949.054794520548,0.48
1949.060273972603,0.92
1949.06301369863,1.09
1949.065753424657,0.28
1949.068493150685,0.15
1949.071232876712,1.05
1949.079452054795,0.0
1949.082191780822,0.12
1949.084931506849,0.0
1949.090410958904,0.15
1949.117808219178,0.8200000000000001
1949.120547945206,1.5
1949.123287671233,0.8
1949.134246575343,0.16
1949.147945205479,0.15
1949.156164383562,0.07000000000000001
1949.161643835616,0.0
1949.172602739726,0.05
1949.180821917808,0.1
1949.183561643836,0.97
1949.186301369863,1.5
1949.202739726027,0.12
1949.205479452055,0.03
1949.208219178082,1.3
1949.219178082192,0.05
1949.227397260274,0.06
1949.230136986301,2.68
1949.241095890411,0.88
1949.246575342466,0.0
1949.26301369863,0.23
1949.27397260274,0.11
1949.282191780822,0.42
1949.301369863014,0.03
1949.304109589041,0.01
1949.315068493151,0.2
1949.317808219178,0.45
1949.32602739726,0.05
1949.328767123288,0.02
1949.350684931507,0.77
1949.353424657534,0.3
1949.383561643836,0.6900000000000001
1949.391780821918,0.18
1949.394520547945,0.15
1949.408219178082,0.05
1949.413698630137,0.0
1949.438356164384,0.35
1949.441095890411,0.1
1949.446575342466,1.37
1949.452054794521,0.8200000000000001
1949.454794520548,0.02
1949.457534246575,0.64
1949.460273972603,0.35
1949.46301369863,0.01
1949.468493150685,0.28
1949.476712328767,0.21
1949.482191780822,0.8
1949.484931506849,0.08
1949.487671232877,0.22
1949.490410958904,0.01
1949.495890410959,0.0
1949.512328767123,0.9
1949.517808219178,0.21
1949.534246575342,0.02
1949.53698630137,1.92
1949.545205479452,0.07000000000000001
1949.547945205479,1.35
1949.564383561644,0.05
1949.575342465753,0.03
1949.580821917808,0.0
1949.608219178082,0.28
1949.61095890411,0.03
1949.616438356164,0.87
1949.619178082192,0.1
1949.621917808219,1.48
1949.624657534247,0.01
1949.630136986301,0.3
1949.638356164384,0.03
1949.652054794521,0.96
1949.654794520548,1.0
1949.665753424658,0.0
1949.67397260274,0.1
1949.676712328767,0.02
1949.695890410959,0.75
1949.698630136986,0.06
1949.704109589041,0.43
1949.709589041096,1.51
1949.712328767123,0.23
1949.73698630137,0.05
1949.747945205479,0.0
1949.750684931507,0.05
1949.753424657534,1.02
1949.756164383562,1.2
1949.758904109589,1.08
1949.761643835616,0.68
1949.767123287671,0.29
1949.775342465754,0.1
1949.778082191781,0.88
1949.8,0.29
1949.802739726027,0.5
1949.805479452055,0.03
1949.827397260274,0.08
1949.832876712329,0.0
1949.86301369863,0.7000000000000001
1949.865753424657,0.03
1949.895890410959,0.13
1949.898630136986,0.04
1949.906849315068,0.34
1949.915068493151,0.0
1949.923287671233,0.1
1949.928767123288,0.06
1949.93698630137,0.17
1949.939726027397,0.77
1949.942465753425,1.16
1949.945205479452,0.18
1949.958904109589,0.3
1949.961643835617,0.33
1949.972602739726,0.43
1949.983561643836,0.73
1950.0,0.27
1950.002739726027,0.77
1950.005479452055,1.71
1950.008219178082,2.05
1950.01095890411,0.29
1950.013698630137,0.77
1950.016438356164,0.11
1950.021917808219,0.02
1950.024657534247,1.1
1950.030136986301,1.66
1950.032876712329,1.08
1950.038356164383,1.78
1950.060273972603,0.13
1950.06301369863,0.04
1950.068493150685,1.07
1950.076712328767,0.2
1950.079452054795,0.6900000000000001
1950.082191780822,0.13
1950.084931506849,0.34
1950.087671232877,0.15
1950.104109589041,1.37
1950.115068493151,1.69
1950.117808219178,0.8
1950.120547945206,0.19
1950.131506849315,0.08
1950.139726027397,1.46
1950.142465753425,0.46
1950.158904109589,0.22
1950.161643835616,0.0
1950.178082191781,0.23
1950.18904109589,0.53
1950.191780821918,0.59
1950.202739726027,0.07000000000000001
1950.213698630137,0.15
1950.232876712329,2.7
1950.243835616438,0.1
1950.246575342466,0.05
1950.249315068493,1.1
1950.252054794521,1.41
1950.254794520548,0.66
1950.268493150685,0.08
1950.271232876712,0.24
1950.295890410959,0.19
1950.306849315069,0.46
1950.309589041096,0.06
1950.312328767123,0.06
1950.320547945206,0.23
1950.323287671233,0.33
1950.32602739726,0.09
1950.328767123288,0.13
1950.331506849315,0.33
1950.339726027397,0.02
1950.350684931507,1.29
1950.353424657534,1.76
1950.358904109589,0.7000000000000001
1950.372602739726,0.05
1950.383561643836,0.25
1950.4,1.65
1950.405479452055,0.04
1950.408219178082,0.2
1950.413698630137,0.0
1950.419178082192,1.18
1950.432876712329,0.09
1950.435616438356,0.05
1950.446575342466,0.34
1950.465753424658,0.8
1950.468493150685,0.11
1950.471232876712,0.04
1950.495890410959,0.0
1950.501369863014,0.31
1950.504109589041,0.09
1950.506849315068,0.05
1950.542465753425,0.62
1950.545205479452,0.16
1950.547945205479,0.1
1950.556164383562,0.6
1950.561643835616,0.04
1950.564383561644,0.6900000000000001
1950.578082191781,6.74
1950.580821917808,0.04
1950.6,0.02
1950.613698630137,0.02
1950.616438356164,0.02
1950.619178082192,0.09
1950.627397260274,1.29
1950.654794520548,1.3
