year,streamflow
1944 ,188.22225555555553
1945 ,238.13355833333335
1946 ,114.9129
1947 ,231.83188333333337
1948 ,363.9172916666667
1949 ,279.599725
1950 ,479.62742499999996
1951 ,290.2690166666667
1952 ,292.081875
1953 ,127.792575
1954 ,154.16736666666668
1955 ,242.89878333333334
1956 ,161.74779166666667
1957 ,321.18490833333334
1958 ,208.21609999999998
1959 ,382.74365833333326
1960 ,163.9893
1961 ,182.0703833333333
1962 ,155.68500000000003
1963 ,67.54835000000001
1964 ,123.2767833333333
1965 ,174.932275
1966 ,166.0107
1967 ,269.9898
1968 ,232.4749333333333
1969 ,251.1773666666667
1970 ,192.98852499999998
1971 ,183.875225
1972 ,292.5520333333333
1973 ,234.287975
1974 ,253.5652416666666
1975 ,228.28359999999998
1976 ,167.37581666666668
1977 ,217.12133333333335
1978 ,226.78652499999998
1979 ,187.98838333333333
1980 ,208.73671666666667
1981 ,217.59884166666666
1982 ,417.289
1983 ,208.72074999999998
1984 ,270.75911666666667
1985 ,319.00873333333334
1986 ,301.22339166666666
1987 ,156.39070833333335
1988 ,159.31119166666664
1989 ,206.98470833333332
1990 ,391.54817499999996
1991 ,267.287
1992 ,315.1536583333334
1993 ,327.2891
1994 ,170.8731333333333
1995 ,152.02295
1996 ,302.40296666666666
1997 ,357.65935833333333
1998 ,323.11970833333334
1999 ,232.21140833333334
2000 ,203.723375
2001 ,309.509325
2002 ,221.67899166666666
2003 ,347.2092166666667
2004 ,317.8091916666666
2005 ,262.10200000000003
2006 ,315.7041666666667
2007 ,324.46153333333336
